name,type,year,url,gender,organization,age,country,current_country,description
Richard Thaler,economics,2017,https://www.nobelprize.org/nobel_prizes/economic-sciences/laureates/2017/aa-facts.html,male,FALSE,72,USA,USA,for his contributions to behavioural economics
Rainer Weiss,physics,2017,https://www.nobelprize.org/nobel_prizes/physics/laureates/2017/weiss-facts.html,male,FALSE,85,Germany,Germany,for decisive contributions to the LIGO detector and the observation of gravitational waves
Barry C. Barish,physics,2017,https://www.nobelprize.org/nobel_prizes/physics/laureates/2017/barish-facts.html,male,FALSE,81,USA,USA,for decisive contributions to the LIGO detector and the observation of gravitational waves
Kip S. Thorne,physics,2017,https://www.nobelprize.org/nobel_prizes/physics/laureates/2017/thorne-facts.html,male,FALSE,77,USA,USA,for decisive contributions to the LIGO detector and the observation of gravitational waves
Jacques Dubochet,chemistry,2017,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/2017/dubochet-facts.html,male,FALSE,75,Scotland,Scotland,for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution
Joachim Frank,chemistry,2017,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/2017/frank-facts.html,male,FALSE,77,Germany,Germany,for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution
Richard Henderson,chemistry,2017,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/2017/henderson-facts.html,male,FALSE,72,Switzerland,Switzerland,for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution
International Campaign to Abolish Nuclear Weapons (ICAN),peace,2017,https://www.nobelprize.org/nobel_prizes/peace/laureates/2017/aa-facts.html,org,TRUE,,,,for its work to draw attention to the catastrophic humanitarian consequences of any use of nuclear weapons and for its ground-breaking efforts to achieve a treaty-based prohibition of such weapons
Jeffrey C. Hall,medicine,2017,https://www.nobelprize.org/nobel_prizes/medicine/laureates/2017/hall-facts.html,male,FALSE,72,USA,USA,for their discoveries of molecular mechanisms controlling the circadian rhythm
Michael Rosbash,medicine,2017,https://www.nobelprize.org/nobel_prizes/medicine/laureates/2017/rosbash-facts.html,male,FALSE,73,USA,USA,for their discoveries of molecular mechanisms controlling the circadian rhythm
Michael W. Young,medicine,2017,https://www.nobelprize.org/nobel_prizes/medicine/laureates/2017/young-facts.html,male,FALSE,68,USA,USA,for their discoveries of molecular mechanisms controlling the circadian rhythm
Kazuo Ishiguro,literature,2017,https://www.nobelprize.org/nobel_prizes/literature/laureates/2017/ishiguro-facts.html,male,FALSE,62,Japan,Japan,"who, in novels of great emotional force, has uncovered the abyss beneath our illusory sense of connection with the world"
Bob Dylan,literature,2016,https://www.nobelprize.org/nobel_prizes/literature/laureates/2016/dylan-facts.html,male,FALSE,75,USA,USA,for having created new poetic expressions within the great American song tradition
Yoshinori Ohsumi,medicine,2016,https://www.nobelprize.org/nobel_prizes/medicine/laureates/2016/ohsumi-facts.html,male,FALSE,71,Japan,Japan,for his discoveries of mechanisms for autophagy
Juan Manuel Santos,peace,2016,https://www.nobelprize.org/nobel_prizes/peace/laureates/2016/santos-facts.html,male,FALSE,65,Colombia,Colombia,for his resolute efforts to bring the country's more than 5-year-long civil war to an end
Jean-Pierre Sauvage,chemistry,2016,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/2016/sauvage-facts.html,male,FALSE,72,France,France,for the design and synthesis of molecular machines
Sir J. Fraser Stoddart,chemistry,2016,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/2016/stoddart-facts.html,male,FALSE,74,United Kingdom,United Kingdom,for the design and synthesis of molecular machines
Bernard L. Feringa,chemistry,2016,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/2016/feringa-facts.html,male,FALSE,65,the Netherlands,the Netherlands,for the design and synthesis of molecular machines
Oliver Hart,economics,2016,https://www.nobelprize.org/nobel_prizes/economics/laureates/2016/hart-facts.html,male,FALSE,68,United Kingdom,United Kingdom,for their contributions to contract theory
Bengt Holmstrom,economics,2016,https://www.nobelprize.org/nobel_prizes/economics/laureates/2016/holmstrom-facts.html,male,FALSE,67,Finland,Finland,for their contributions to contract theory
David J. Thouless,physics,2016,https://www.nobelprize.org/nobel_prizes/physics/laureates/2016/thouless-facts.html,male,FALSE,82,United Kingdom,United Kingdom,for theoretical discoveries of topological phase transitions and topological phases of matter
F. Duncan M. Haldane,physics,2016,https://www.nobelprize.org/nobel_prizes/physics/laureates/2016/haldane-facts.html,male,FALSE,65,United Kingdom,United Kingdom,for theoretical discoveries of topological phase transitions and topological phases of matter
J. Michael Kosterlitz,physics,2016,https://www.nobelprize.org/nobel_prizes/physics/laureates/2016/kosterlitz-facts.html,male,FALSE,73,United Kingdom,United Kingdom,for theoretical discoveries of topological phase transitions and topological phases of matter
Svetlana Alexievich,literature,2015,https://www.nobelprize.org/nobel_prizes/literature/laureates/2015/alexievich-facts.html,female,FALSE,67,Ukraine,Ukraine,"for her polyphonic writings, a monument to suffering and courage in our time"
Angus Deaton,economics,2015,https://www.nobelprize.org/nobel_prizes/economics/laureates/2015/deaton-facts.html,male,FALSE,70,Scotland,Scotland,"for his analysis of consumption, poverty, and welfare"
National Dialogue Quartet,peace,2015,https://www.nobelprize.org/nobel_prizes/peace/laureates/2015/tndq-facts.html,org,TRUE,,,,for its decisive contribution to the building of a pluralistic democracy in Tunisia in the wake of the Jasmine Revolution of 211
Tomas Lindahl,chemistry,2015,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/2015/lindahl-facts.html,male,FALSE,77,Sweden,Sweden,for mechanistic studies of DNA repair
Paul Modrich,chemistry,2015,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/2015/modrich-facts.html,male,FALSE,69,USA,USA,for mechanistic studies of DNA repair
Aziz Sancar,chemistry,2015,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/2015/sancar-facts.html,male,FALSE,69,Turkey,Turkey,for mechanistic studies of DNA repair
Takaaki Kajita,physics,2015,https://www.nobelprize.org/nobel_prizes/physics/laureates/2015/kajita-facts.html,male,FALSE,56,Japan,Japan,"for the discovery of neutrino oscillations, which shows that neutrinos have mass"
Arthur B. McDonald,physics,2015,https://www.nobelprize.org/nobel_prizes/physics/laureates/2015/mcdonald-facts.html,male,FALSE,72,Canada,Canada,"for the discovery of neutrino oscillations, which shows that neutrinos have mass"
William C. Campbell,medicine,2015,https://www.nobelprize.org/nobel_prizes/medicine/laureates/2015/campbell-facts.html,male,FALSE,85,Ireland,Ireland,for their discoveries concerning a novel therapy against infections caused by roundworm parasites
Satoshi Omura,medicine,2015,https://www.nobelprize.org/nobel_prizes/medicine/laureates/2015/omura-facts.html,male,FALSE,80,Japan,Japan,for their discoveries concerning a novel therapy against infections caused by roundworm parasites
Youyou Tu,medicine,2015,https://www.nobelprize.org/nobel_prizes/medicine/laureates/2015/tu-facts.html,female,FALSE,85,China,China,for her discoveries concerning a novel therapy against Malaria
Jean Tirole,economics,2014,https://www.nobelprize.org/nobel_prizes/economics/laureates/2014/tirole-facts.html,male,FALSE,61,France,France,for his analysis of market power and regulation
Patrick Modiano,literature,2014,https://www.nobelprize.org/nobel_prizes/literature/laureates/2014/modiano-facts.html,male,FALSE,69,France,France,"for the art of memory with which he has evoked the most ungraspable human destinies and
uncovered the life-world of the occupation"
Eric Betzig,chemistry,2014,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/2014/betzig-facts.html,male,FALSE,54,USA,USA,for the development of super-resolved fluorescence microscopy
Stefan W. Hell,chemistry,2014,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/2014/hell-facts.html,male,FALSE,52,Romania,Romania,for the development of super-resolved fluorescence microscopy
William E. Moerner,chemistry,2014,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/2014/moerner-facts.html,male,FALSE,61,USA,USA,for the development of super-resolved fluorescence microscopy
Isamu Akasaki,physics,2014,https://www.nobelprize.org/nobel_prizes/physics/laureates/2014/akasaki-facts.html,male,FALSE,85,Japan,Japan,for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources
Hiroshi Amano,physics,2014,https://www.nobelprize.org/nobel_prizes/physics/laureates/2014/amano-facts.html,male,FALSE,54,Japan,Japan,for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources
Shuji Nakamura,physics,2014,https://www.nobelprize.org/nobel_prizes/physics/laureates/2014/nakamura-facts.html,male,FALSE,60,Japan,Japan,for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources
John O'Keefe,medicine,2014,https://www.nobelprize.org/nobel_prizes/medicine/laureates/2014/okeefe-facts.html,male,FALSE,75,USA,USA,for their discoveries of cells that constitute a positioning system in the brain
May-Britt Moser,medicine,2014,https://www.nobelprize.org/nobel_prizes/medicine/laureates/2014/may-britt-moser-facts.html,female,FALSE,51,Norway,Norway,for their discoveries of cells that constitute a positioning system in the brain
Edvard I. Moser,medicine,2014,https://www.nobelprize.org/nobel_prizes/medicine/laureates/2014/edvard-moser-facts.html,male,FALSE,52,Norway,Norway,for their discoveries of cells that constitute a positioning system in the brain
Kailash Satyarthi,peace,2014,https://www.nobelprize.org/nobel_prizes/peace/laureates/2014/satyarthi-facts.html,male,FALSE,60,India,India,for their struggle against the suppression of children and young people and for the right of all children to education
Malala Yousafzai,peace,2014,https://www.nobelprize.org/nobel_prizes/peace/laureates/2014/yousafzai-facts.html,female,FALSE,17,Pakistan,Pakistan,for their struggle against the suppression of children and young people and for the right of all children to education
Organisation for the Prohibition of Chemical Weapons (OPCW),peace,2013,https://www.nobelprize.org/nobel_prizes/peace/laureates/2013/opcw-facts.html,org,TRUE,,,,for its extensive efforts to eliminate chemical weapons
Martin Karplus,chemistry,2013,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/2013/karplus-facts.html,male,FALSE,83,Austria,Austria,for the development of multiscale models for complex chemical systems
Michael Levitt,chemistry,2013,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/2013/levitt-facts.html,male,FALSE,66,South Africa,South Africa,for the development of multiscale models for complex chemical systems
Arieh Warshel,chemistry,2013,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/2013/warshel-facts.html,male,FALSE,73,British Mandate of Palestine,Israel,for the development of multiscale models for complex chemical systems
Francois Englert,physics,2013,https://www.nobelprize.org/nobel_prizes/physics/laureates/2013/englert-facts.html,male,FALSE,81,Belgium,Belgium,"for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles, and which recently was confirmed through the discovery of the predicted fundamental particle, by the ATLAS and CMS experiments at CERN's Large Hadron Collider"
Peter W. Higgs,physics,2013,https://www.nobelprize.org/nobel_prizes/physics/laureates/2013/higgs-facts.html,male,FALSE,84,United Kingdom,United Kingdom,"for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles, and which recently was confirmed through the discovery of the predicted fundamental particle, by the ATLAS and CMS experiments at CERN's Large Hadron Collider"
James E. Rothman,medicine,2013,https://www.nobelprize.org/nobel_prizes/medicine/laureates/2013/rothman-facts.html,male,FALSE,63,USA,USA,"for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells"
Randy W. Schekman,medicine,2013,https://www.nobelprize.org/nobel_prizes/medicine/laureates/2013/schekman-facts.html,male,FALSE,65,USA,USA,"for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells"
Thomas C. Sudhof,medicine,2013,https://www.nobelprize.org/nobel_prizes/medicine/laureates/2013/sudhof-facts.html,male,FALSE,58,Germany,Germany,"for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells"
Eugene F. Fama,economics,2013,https://www.nobelprize.org/nobel_prizes/economics/laureates/2013/fama-facts.html,male,FALSE,74,USA,USA,for their empirical analysis of asset prices
Lars Peter Hansen,economics,2013,https://www.nobelprize.org/nobel_prizes/economics/laureates/2013/hansen-facts.html,male,FALSE,61,USA,USA,for their empirical analysis of asset prices
